angle,release_x_offset,release_y_offset,relative_angle,success_rate,ideal_x,ideal_y,avg_final_x,avg_final_y,difference_from_ideal_px,avg_short_contacts,max_short_contacts,failures_floor,failures_multi_short,failures_unstable,failures_angle,failures_no_contact,failures_invalid_pos,x_offset_std,y_offset_std,angle_offset_std,difference_from_ideal_mm
10,-350,-10,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.105,12.429,0.573,
10,-350,-5,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.602,14.098,0.601,
10,-350,0,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.334,11.731,0.715,
10,-350,5,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.430,11.793,0.534,
10,-350,10,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.460,11.761,0.535,
10,-350,15,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.903,12.930,0.554,
10,-350,20,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.010,11.000,0.481,
10,-350,25,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.421,10.848,0.527,
10,-350,30,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,6.381,6.908,0.508,
10,-350,35,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.610,9.050,0.586,
10,-350,40,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.951,11.846,0.518,
10,-350,45,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.248,10.728,0.436,
10,-350,50,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,7.776,11.088,0.521,
10,-350,55,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.510,9.554,0.715,
10,-350,60,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.403,13.062,0.645,
10,-350,65,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.379,12.041,0.507,
10,-350,70,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.341,8.608,0.555,
10,-350,75,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.952,14.109,0.513,
10,-350,80,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.197,11.838,0.531,
10,-350,85,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.176,12.717,0.606,
10,-350,90,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.281,13.523,0.419,
10,-350,95,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.693,11.200,0.564,
10,-350,100,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.569,10.756,0.740,
10,-350,105,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.206,9.743,0.503,
10,-350,110,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.681,10.964,0.713,
10,-350,115,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.407,9.156,0.596,
10,-350,120,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.574,12.546,0.502,
10,-350,125,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.462,8.271,0.624,
10,-350,130,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.084,10.032,0.678,
10,-350,135,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.844,14.491,0.411,
10,-350,140,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.752,12.281,0.642,
10,-350,145,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.117,10.806,0.548,
10,-350,150,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.786,6.431,0.590,
10,-350,155,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.200,8.899,0.401,
10,-350,160,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.530,9.868,0.421,
10,-350,165,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,15.249,10.219,0.426,
10,-350,170,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.130,9.317,0.508,
10,-350,175,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.583,10.756,0.588,
10,-350,180,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,8.853,14.318,0.547,
10,-350,185,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.173,11.617,0.549,
10,-350,190,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.195,13.256,0.565,
10,-350,195,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.363,7.035,0.226,
10,-350,200,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.541,7.806,0.541,
10,-350,205,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.789,8.131,0.385,
10,-350,210,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.247,10.421,0.658,
10,-350,215,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.326,11.395,0.388,
10,-350,220,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,14.117,13.012,0.461,
10,-350,225,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.210,11.479,0.500,
10,-350,230,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.441,10.648,0.491,
10,-350,235,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.706,9.022,0.561,
10,-350,240,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.579,9.580,0.482,
10,-350,245,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.682,13.364,0.546,
10,-350,250,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.037,8.971,0.383,
10,-350,255,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.344,10.604,0.576,
10,-350,260,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,7.639,12.753,0.665,
10,-350,265,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.805,10.136,0.419,
10,-350,270,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,7.905,6.040,0.627,
10,-350,275,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.551,10.494,0.571,
10,-350,280,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.824,10.385,0.520,
10,-350,285,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.596,4.839,0.598,
10,-350,290,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,13.669,12.183,0.563,
10,-350,295,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.531,10.301,0.553,
10,-350,300,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.303,11.741,0.526,
10,-350,305,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.404,10.704,0.535,
10,-350,310,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,9.323,10.358,0.391,
10,-350,315,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.495,12.469,0.539,
10,-350,320,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.923,9.206,0.493,
10,-350,325,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,6.410,11.657,0.649,
10,-350,330,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,10.620,7.573,0.638,
10,-350,335,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,6.840,12.942,0.554,
10,-350,340,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,12.161,10.044,0.424,
10,-350,345,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,6.477,9.745,0.520,
10,-350,350,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.792,9.441,0.659,
10,-350,355,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.201,9.939,0.567,
10,-350,360,0,0.000,1966.852,1493.013,,,,0.000,0,10,0,0,0,0,0,11.290,7.678,0.528,
