angle,release_x_offset,release_y_offset,relative_angle,success_rate,ideal_x,ideal_y,avg_final_x,avg_final_y,difference_from_ideal_px,avg_short_contacts,max_short_contacts,failures_floor,failures_multi_short,failures_unstable,failures_angle,failures_no_contact,failures_invalid_pos,x_offset_std,y_offset_std,angle_offset_std,difference_from_ideal_mm
10,-100,-10,0,0.000,1966.852,1493.013,,,,0.000,0,1,0,0,0,0,9,10.780,9.324,0.533,
10,-100,-5,0,0.000,1966.852,1493.013,,,,0.000,0,3,0,0,0,0,7,10.448,12.649,0.571,
10,-100,0,0,0.000,1966.852,1493.013,,,,0.000,0,2,0,0,0,0,8,11.380,11.829,0.610,
10,-100,5,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,12.130,10.662,0.501,
10,-100,10,0,0.000,1966.852,1493.013,,,,0.000,0,3,0,0,0,0,7,10.496,9.564,0.488,
10,-100,15,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,8.786,9.696,0.529,
10,-100,20,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,9.875,8.777,0.503,
10,-100,25,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,10.853,11.669,0.573,
10,-100,30,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,11.389,13.257,0.460,
10,-100,35,0,0.000,1966.852,1493.013,,,,0.000,0,1,0,0,0,0,9,12.456,7.904,0.506,
10,-100,40,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,6.483,11.031,0.583,
10,-100,45,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,10.109,7.441,0.485,
10,-100,50,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,11.623,11.669,0.525,
10,-100,55,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,11.410,7.465,0.599,
10,-100,60,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,11.409,11.787,0.348,
10,-100,65,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,11.324,14.918,0.578,
10,-100,70,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,14.220,10.963,0.524,
10,-100,75,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,12.190,9.027,0.522,
10,-100,80,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,12.947,8.429,0.419,
10,-100,85,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,9.822,10.968,0.596,
10,-100,90,0,0.000,1966.852,1493.013,,,,0.000,0,0,0,0,0,0,10,11.878,10.969,0.438,
